{'imie': 'Joseph', 'nazwisko': 'Murphy', 'S': 17, 'KON': 76, 'BC': 89, 'ZR': 33, 'WYG': 17, 'INT': 68, 'MOC': 64, 'WYK': 49, 'PS': 72, 'Ruch': 0, 'PW': 16, 'PP': 64, 'PM': 12, 'MO': 0, 'Krzepa': 0}

{'imie': 'William', 'nazwisko': 'Henderson', 'S': 61, 'KON': 21, 'BC': 57, 'ZR': 23, 'WYG': 48, 'INT': 64, 'MOC': 35, 'WYK': 52, 'PS': 49, 'Ruch': 0, 'PW': 7, 'PP': 35, 'PM': 7, 'MO': 0, 'Krzepa': 0}

{'imie': 'Robert', 'nazwisko': 'Morrow', 'S': 77, 'KON': 84, 'BC': 74, 'ZR': 40, 'WYG': 17, 'INT': 75, 'MOC': 54, 'WYK': 42, 'PS': 24, 'Ruch': 0, 'PW': 15, 'PP': 54, 'PM': 10, 'MO': 0, 'Krzepa': 0}

{'imie': 'Billie', 'nazwisko': 'Robinson', 'S': 23, 'KON': 75, 'BC': 82, 'ZR': 50, 'WYG': 40, 'INT': 51, 'MOC': 53, 'WYK': 60, 'PS': 57, 'Ruch': 0, 'PW': 15, 'PP': 53, 'PM': 10, 'MO': 0, 'Krzepa': 0}

{'imie': 'William', 'nazwisko': 'MARTINEZ', 'S': 32, 'KON': 39, 'BC': 85, 'ZR': 30, 'WYG': 43, 'INT': 44, 'MOC': 67, 'WYK': 46, 'PS': 15, 'Ruch': 0, 'PW': 12, 'PP': 67, 'PM': 13, 'MO': 0, 'Krzepa': 0}

{'imie': 'Henry', 'nazwisko': 'Martin', 'S': 30, 'KON': 62, 'BC': 43, 'ZR': 36, 'WYG': 68, 'INT': 65, 'MOC': 69, 'WYK': 81, 'PS': 21, 'Ruch': 0, 'PW': 10, 'PP': 69, 'PM': 13, 'MO': 0, 'Krzepa': 0}

{'imie': 'Cecil', 'nazwisko': 'Copeland', 'S': 86, 'KON': 67, 'BC': 58, 'ZR': 61, 'WYG': 90, 'INT': 53, 'MOC': 69, 'WYK': 88, 'PS': 69, 'Ruch': 0, 'PW': 12, 'PP': 69, 'PM': 13, 'MO': '+1K4', 'Krzepa': 1}

{'imie': 'Theodore', 'nazwisko': 'Johnson', 'Wiek': 44, 'S': 34, 'KON': 26, 'BC': 55, 'ZR': 18, 'WYG': 23, 'INT': 77, 'MOC': 18, 'WYK': 69, 'PS': 72, 'Ruch': 0, 'PW': 8, 'PP': 18, 'PM': 3, 'MO': '+5K6', 'Krzepa': 6}

{'imie': 'William', 'nazwisko': 'Ellison', 'Wiek': 83, 'S': 40, 'KON': 56, 'BC': 64, 'ZR': 16, 'WYG': 74, 'INT': 42, 'MOC': 83, 'WYK': 65, 'PS': 22, 'Ruch': 0, 'PW': 12, 'PP': 83, 'PM': 16, 'MO': '+5K6', 'Krzepa': 6}

{'imie': 'Robert', 'nazwisko': 'Kelley', 'Wiek': 23, 'S': 70, 'KON': 75, 'BC': 84, 'ZR': 48, 'WYG': 51, 'INT': 52, 'MOC': 62, 'WYK': 48, 'PS': 62, 'Ruch': 0, 'PW': 15, 'PP': 62, 'PM': 12, 'MO': '+1K4', 'Krzepa': 1}

{'imie': 'Sam', 'nazwisko': 'Dickerson', 'Wiek': 16, 'S': 67, 'KON': 40, 'BC': 67, 'ZR': 77, 'WYG': 15, 'INT': 88, 'MOC': 25, 'WYK': 62, 'PS': 16, 'Ruch': 0, 'PW': 10, 'PP': 25, 'PM': 5, 'MO': '+1K4', 'Krzepa': 1}

{'imie': 'Norman', 'nazwisko': 'Weeks', 'Wiek': 43, 'S': 71, 'KON': 41, 'BC': 90, 'ZR': 23, 'WYG': 85, 'INT': 76, 'MOC': 60, 'WYK': 85, 'PS': 53, 'Ruch': 0, 'PW': 13, 'PP': 60, 'PM': 12, 'MO': '+1K4', 'Krzepa': 1}

{'imie': 'John', 'nazwisko': 'Martinez', 'Wiek': 19, 'S': 88, 'KON': 54, 'BC': 88, 'ZR': 48, 'WYG': 55, 'INT': 80, 'MOC': 78, 'WYK': 48, 'PS': 35, 'Ruch': 0, 'PW': 14, 'PP': 78, 'PM': 15, 'MO': '+1K6', 'Krzepa': 2}

{'Imie': 'Harold', 'Nazwisko': 'David', 'Wiek': 57, 'S': 61, 'KON': 64, 'BC': 77, 'ZR': 25, 'WYG': 67, 'INT': 77, 'MOC': 26, 'WYK': 66, 'PS': 22, 'Ruch': 0, 'PW': 14, 'PP': 26, 'PM': 5, 'MO': '+1K4', 'Krzepa': 1}

{'Imie': 'Edward', 'Nazwisko': 'Freeman', 'Wiek': 80, 'S': 58, 'KON': 47, 'BC': 47, 'ZR': 57, 'WYG': 52, 'INT': 54, 'MOC': 45, 'WYK': 46, 'PS': 49, 'Ruch': 0, 'PW': 9, 'PP': 45, 'PM': 9, 'MO': '0', 'Krzepa': 0}

